"name","current_rank","nationality","facebook","instagram","twitter","youtube","website","birthday","age","turned_pro","weight_kg","weight_lbs","height","height_cm","birth_city","birth_country","handed","style","coach(es)","rank2021","win2021","lose2021","titles2021","prizemoney2021","bestrank","bestranktime","win","lose","titles","prizemoney"
"Rafael Nadal",6,"ESP","https://www.facebook.com/Nadal","https://www.instagram.com/rafaelnadal/","https://twitter.com/RafaelNadal",NA,"http://www.rafaelnadal.com",1986-06-03,35,2001,"85","187","6'1","185","Manacor","Mallorca","Left-Handed","Two-Handed Backhand","Carlos Moya, Francisco Roig","6","24","5","2",1478830,1,2008-08-18,1028,209,88,124961595
"Roger Federer",16,"SUI","https://www.facebook.com/Federer","https://www.instagram.com/rogerfederer/","https://twitter.com/rogerfederer",NA,"http://www.rogerfederer.com",1981-08-08,40,1998,"85","187","6'1","185","Basel","Switzerland","Right-Handed","One-Handed Backhand","Ivan Ljubicic, Severin Luthi","16","9","4","0",647655,1,2004-02-02,1251,275,103,130594339
"Novak Djokovic",1,"SRB","https://www.facebook.com/djokovicofficial/","https://www.instagram.com/djokernole/","https://twitter.com/DjokerNole","https://www.youtube.com/djokovicofficial","http://novakdjokovic.com",1987-05-22,34,2003,"77","170","6'2","188","Belgrade","Serbia","Right-Handed","Two-Handed Backhand","Marian Vajda, Goran Ivanisevic","1","55","7","5",9069225,1,2011-07-04,989,199,86,154756726
"Andy Murray",134,"GBR","https://www.facebook.com/andymurrayofficial/","https://www.instagram.com/andymurray/","https://twitter.com/andy_murray",NA,"http://www.andymurray.com",1987-05-15,34,2005,"82","181","6'3","191","Glasgow","Scotland","Right-Handed","Two-Handed Backhand","Jamie Delgado","134","15","14","0",514248,1,2016-11-07,691,214,46,62314306
"Robin Soderling",NA,"SWE",NA,NA,"https://twitter.com/RSoderling",NA,"http://robinsoderling.se",1984-08-14,NA,2001,"87","192","6'4","193","Tibro","Sweden","Right-Handed","Two-Handed Backhand",NA,NA,NA,NA,NA,NA,4,2010-11-15,310,170,10,10423124
"Tomas Berdych",NA,"CZE","https://www.facebook.com/tomasberdych","https://www.instagram.com/tomasberdych/","https://twitter.com/tomasberdych",NA,"https://weibo.com/tomasberdych1985",1985-09-17,NA,2002,"91","200","6'5","196","Valasske Mezirici","CZE","Right-Handed","Two-Handed Backhand","Martin Stepanek",NA,NA,NA,NA,NA,4,2015-05-18,640,342,13,29491328
"David Ferrer",NA,"ESP","https://www.facebook.com/Davidferrer87","https://www.instagram.com/davidferrer1982/","https://twitter.com/DavidFerrer87",NA,NA,1982-04-02,NA,2000,"73","161","5'9","175","Javea","Spain","Right-Handed","Two-Handed Backhand","Francisco Fogues",NA,NA,NA,NA,NA,3,2013-07-08,734,377,27,31483911
"Andy Roddick",NA,"USA","https://www.facebook.com/Roddick",NA,"https://twitter.com/andyroddick",NA,"http://www.AndyRoddick.com",1982-08-30,NA,2000,"88","195","6'2","188","Omaha","Nebraska","Right-Handed","Two-Handed Backhand","Larry Stefanki",NA,NA,NA,NA,NA,1,2003-11-03,612,213,32,20640030
"Fernando Verdasco",154,"ESP","https://www.facebook.com/fernandoverdasco.esp","https://www.instagram.com/FerVerdasco/","https://twitter.com/FerVerdasco",NA,"https://www.topcourt.com/p/fernando-verdasco",1983-11-15,38,2001,"90","198","6'2","188","Madrid","Spain","Left-Handed","Two-Handed Backhand","Diego Dinomo, David Sanchez, Quino Munoz","154","2","8","0",250082,7,2009-04-20,554,431,7,17925998
"Mikhail Youzhny",NA,"RUS",NA,NA,NA,NA,NA,1982-06-25,NA,1999,"73","160","6'0","183","Moscow","Russia","Right-Handed","One-Handed Backhand","Boris Sobkin",NA,NA,NA,NA,NA,8,2008-01-28,499,416,10,14264450
"Jurgen Melzer",84,"AUT","https://www.facebook.com/jurgenmelzer81","https://www.instagram.com/jojomelzer/","https://twitter.com/jojomelzer",NA,NA,1981-05-22,40,1999,"80","176","6'0","183","Vienna","Austria","Left-Handed","Two-Handed Backhand","Fredrik Rosengren","84","0","4","0",30432,6,2010-09-13,375,297,17,10739212
"Gael Monfils",21,"FRA","https://www.facebook.com/pages/Gael-Monfils-Tennis/128049253953369","https://www.instagram.com/iamgaelmonfils/","https://twitter.com/Gael_Monfils",NA,NA,1986-09-01,35,2004,"85","187","6'4","193","Paris","France","Right-Handed","Two-Handed Backhand","Gunter Bresnik, Richard Ruckelshausen","21","18","17","0",1013517,6,2016-11-07,511,295,10,20241558
"Jo-Wilfried Tsonga",263,"FRA","https://www.facebook.com/tsonga","https://www.instagram.com/tsongaofficiel/","https://twitter.com/tsonga7",NA,"http://www.jotsonga.com",1985-04-17,36,2004,"93","205","6'2","188","Le Mans","France","Right-Handed","Two-Handed Backhand","Thierry Ascione, Sergi Bruguera","263","1","8","0",194801,5,2012-02-27,465,231,18,22365073
"Marin Cilic",30,"CRO","https://www.facebook.com/MarinCilic","https://www.instagram.com/marincilic/","https://twitter.com/cilic_marin",NA,"https://marincilic.com/",1988-09-28,33,2005,"89","196","6'6","198","Medjugorje","Bosnia-Herzegovina","Right-Handed","Two-Handed Backhand","Vedran Martic, Vilim Visak","30","33","23","2",901809,3,2018-01-29,549,306,20,29210153
"Nicolas Almagro",NA,"ESP","https://www.facebook.com/Nicolas-Almagro-479895972082359/",NA,"https://twitter.com/nicoalmagro",NA,NA,1985-08-21,36,2003,"86","190","6'0","183","Murcia","Spain","Right-Handed","One-Handed Backhand",NA,NA,NA,NA,NA,NA,9,2011-05-02,397,278,13,10752234
"Mardy Fish",NA,"USA",NA,NA,"https://twitter.com/MardyFish",NA,"http://mardytennis.com",1981-12-09,NA,2000,"82","180","6'2","188","Edina","Minnesota","Right-Handed","Two-Handed Backhand","Mark Knowles",NA,NA,NA,NA,NA,7,2011-08-15,302,219,6,7460641
"Ivan Ljubicic",NA,"CRO",NA,NA,"https://twitter.com/theljubicic",NA,NA,1979-03-19,NA,1998,"92","202","6'4","193","Banja Luka","Bosnia-Herzegovina","Right-Handed","One-Handed Backhand","Riccardo Piatti",NA,NA,NA,NA,NA,3,2006-05-01,429,296,10,10181121
"Sam Querrey",108,"USA","https://www.facebook.com/SamQuerrey","https://www.instagram.com/samquerrey/","https://twitter.com/SamQuerrey",NA,"https://www.topcourt.com/p/sam-querrey",1987-10-07,34,2006,"95","209","6'6","198","San Francisco","CA","Right-Handed","Two-Handed Backhand","Scott Doerner","108","9","16","0",537615,11,2018-02-26,381,320,10,13290911
"John Isner",24,"USA","https://www.facebook.com/JohnIsner","https://www.instagram.com/johnrisner/","https://twitter.com/johnisner",NA,"http://www.johnisner.com/",1985-04-26,36,2007,"108","238","6'10","208","Greensboro","NC","Right-Handed","Two-Handed Backhand","David Macpherson","24","23","13","1",751168,8,2018-07-16,457,286,16,20112284
"Marcos Baghdatis",NA,"CYP","https://www.facebook.com/MarcosBaghdatisOfficial","https://www.instagram.com/baghdatis_official/","https://twitter.com/marcosbaghdatis","https://www.youtube.com/baghdatisofficial","http://www.baghdatis.com",1985-06-17,NA,2003,"82","181","5'10","178","Limassol","Cyprus","Right-Handed","Two-Handed Backhand","Pablo Perez, Juan Francisco Spina",NA,NA,NA,NA,NA,8,2006-08-21,349,274,4,8918917
"Stan Wawrinka",82,"SUI","https://www.facebook.com/StanWawrinkaOfficial","https://www.instagram.com/stanwawrinka85/","https://twitter.com/stanwawrinka",NA,"http://www.stanwawrinka.com",1985-03-28,36,2002,"81","179","6'0","183","Lausanne","Switzerland","Right-Handed","One-Handed Backhand","Daniel Vallverdu","82","3","3","0",140490,3,2014-01-27,533,309,16,34778261
"Nikolay Davydenko",NA,"RUS",NA,"https://www.instagram.com/nikodav1981/",NA,NA,NA,1981-06-02,NA,1999,"72","158","5'10","178","Severodonezk","Ukraine","Right-Handed","Two-Handed Backhand","Eduard Davydenko",NA,NA,NA,NA,NA,3,2006-11-06,482,329,21,16186480
"Michael Llodra",NA,"FRA","https://www.facebook.com/michaelllodra",NA,"https://twitter.com/micallodra",NA,"http://www.michael-llodra.fr/",1980-05-18,NA,1999,"80","176","6'3","191","Paris","France","Left-Handed","One-Handed Backhand",NA,NA,NA,NA,NA,NA,21,2011-05-09,187,221,5,8533350
"Ernests Gulbis",192,"LAT",NA,NA,NA,NA,NA,1988-08-30,33,2004,"85","187","6'3","191","Riga","Latvia","Right-Handed","Two-Handed Backhand","Pjotrs Necajevs","192","0","3","0",147235,10,2014-06-09,245,239,6,7619189
"Albert Montanes",NA,"ESP",NA,NA,"https://twitter.com/montanes_albert",NA,NA,1980-11-26,NA,1999,"70","155","5'9","175","Sant Carles de la Rapita",NA,"Right-Handed","One-Handed Backhand","Pere Icart",NA,NA,NA,NA,NA,22,2010-08-02,255,287,6,5866340
"Juan Monaco",NA,"ARG","https://www.facebook.com/juanmonacoofficial","https://www.instagram.com/picomonaco/","https://twitter.com/picomonaco/","https://www.youtube.com/channel/UCF4BbUEjNP4jVAs_rVlqWQg","http://www.juanmonaco.com",1984-03-29,NA,2002,"81","179","6'1","185","Tandil","Argentina","Right-Handed","Two-Handed Backhand","Mariano Zabaleta and Sebastian Prieto",NA,NA,NA,NA,NA,10,2012-07-23,342,271,9,8091242
"David Nalbandian",NA,"ARG","https://www.facebook.com/davidnalbandianoficial",NA,"https://twitter.com/nalbandiandavid","https://www.youtube.com/user/canaldavidnalbandian/featured","http://www.davidnalbandian.com",1982-01-01,NA,2000,"79","175","5'11","180","Cordoba","Argentina","Right-Handed","Two-Handed Backhand",NA,NA,NA,NA,NA,NA,3,2006-03-20,383,192,11,11123125
"Viktor Troicki",232,"SRB","https://www.facebook.com/viktortroicki",NA,"https://twitter.com/troicki_viktor",NA,"http://www.viktortroicki.com",1986-02-10,35,2006,"86","189","6'4","193","Belgrade","Serbia","Right-Handed","Two-Handed Backhand","Jack Reader","232","1","4","0",163015,12,2011-06-06,294,273,3,9265938
"Juan Carlos Ferrero",NA,"ESP",NA,NA,"https://twitter.com/juankiferri",NA,"http://www.equelite.com",1980-02-12,NA,1998,"73","160","6'0","183","Onteniente","Spain","Right-Handed","Two-Handed Backhand","Antonio Martinez / Samuel Lopez",NA,NA,NA,NA,NA,1,2003-09-08,479,262,16,13998165
"Richard Gasquet",87,"FRA",NA,"https://www.instagram.com/richardgasquet34/","https://twitter.com/richardgasquet1",NA,NA,1986-06-18,35,2002,"79","174","6'0","183","Beziers","France","Right-Handed","One-Handed Backhand","Julien Cassaigne","87","14","16","0",519521,7,2007-07-09,562,346,15,19041596
"Thomaz Bellucci",450,"BRA","https://www.facebook.com/pages/Thomaz-Bellucci/137251569646040","https://www.instagram.com/belluccioficial/","https://twitter.com/belluccioficial","https://www.youtube.com/belluccioficial","http://www.thomazbellucci.com.br/",1987-12-30,33,2005,"82","181","6'2","188","Tiete","Brazil","Left-Handed","Two-Handed Backhand","Thiago Alves, German Lopez","450","0","1","0",12070,21,2010-07-26,200,217,4,5366204
